chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	8p3hFKLBuAZTS65v5KuzrVyCenPFaj5Zigb2ZJdZmhLa	FxwbKC8s3dq8kkwJyHN5KEwDuhzawgfTmWRnfnX6jBho	Solana Advocat, Not a Cat	Advocat	78	29	78	29	12.0	24459.94	58139	2024-05-10 10:12:38	1.62	False	True	False	True	3	c47b70	0.00005962	-4.54	-4.54	-4.54	-4.54	2024-05-10 12:14:15.233611
solana	raydium	8p3hFKLBuAZTS65v5KuzrVyCenPFaj5Zigb2ZJdZmhLa	FxwbKC8s3dq8kkwJyHN5KEwDuhzawgfTmWRnfnX6jBho	Solana Advocat, Not a Cat	Advocat	122	40	122	40	12.0	26708.6	69067	2024-05-10 10:12:38	3.92	False	True	False	True	3	c47b70	0.00007083	13.41	13.41	13.41	13.41	2024-05-10 12:16:33.083915
solana	raydium	8p3hFKLBuAZTS65v5KuzrVyCenPFaj5Zigb2ZJdZmhLa	FxwbKC8s3dq8kkwJyHN5KEwDuhzawgfTmWRnfnX6jBho	Solana Advocat, Not a Cat	Advocat	55	29	137	60	4.82	25729.38	64025	2024-05-10 10:12:38	6.2	False	True	False	True	3	c47b70	0.00006566	5.13	5.13	5.13	10.82	2024-05-10 12:18:49.779074
solana	raydium	8p3hFKLBuAZTS65v5KuzrVyCenPFaj5Zigb2ZJdZmhLa	FxwbKC8s3dq8kkwJyHN5KEwDuhzawgfTmWRnfnX6jBho	Solana Advocat, Not a Cat	Advocat	24	34	146	74	1.97	25910.37	64936	2024-05-10 10:12:38	8.49	False	True	False	True	3	c47b70	0.00006660	6.63	6.63	6.63	-5.98	2024-05-10 12:21:07.329811
solana	raydium	8p3hFKLBuAZTS65v5KuzrVyCenPFaj5Zigb2ZJdZmhLa	FxwbKC8s3dq8kkwJyHN5KEwDuhzawgfTmWRnfnX6jBho	Solana Advocat, Not a Cat	Advocat	31	31	165	89	2.25	23912.83	55283	2024-05-10 10:12:38	10.74	False	True	False	True	3	c47b70	0.00005670	-9.22	-9.22	-9.22	-9.76	2024-05-10 12:23:22.622743
solana	raydium	8p3hFKLBuAZTS65v5KuzrVyCenPFaj5Zigb2ZJdZmhLa	FxwbKC8s3dq8kkwJyHN5KEwDuhzawgfTmWRnfnX6jBho	Solana Advocat, Not a Cat	Advocat	30	26	176	102	2.05	23298.06	52420	2024-05-10 10:12:38	13.11	False	True	False	True	3	c47b70	0.00005376	-13.93	-13.93	-13.93	-18.82	2024-05-10 12:25:44.685253
solana	raydium	8p3hFKLBuAZTS65v5KuzrVyCenPFaj5Zigb2ZJdZmhLa	FxwbKC8s3dq8kkwJyHN5KEwDuhzawgfTmWRnfnX6jBho	Solana Advocat, Not a Cat	Advocat	8	13	208	167	0.46	23139.13	51623	2024-05-10 10:12:38	40.34	False	True	False	True	3	c47b70	0.00005294	-15.24	-15.24	-15.24	9.25	2024-05-10 12:52:58.366581
solana	raydium	8p3hFKLBuAZTS65v5KuzrVyCenPFaj5Zigb2ZJdZmhLa	FxwbKC8s3dq8kkwJyHN5KEwDuhzawgfTmWRnfnX6jBho	Solana Advocat, Not a Cat	Advocat	8	19	213	177	0.45	24247.76	56587	2024-05-10 10:12:38	42.58	False	True	False	True	3	c47b70	0.00005803	-7.08	-7.08	-7.08	17.57	2024-05-10 12:55:13.060838
solana	raydium	8p3hFKLBuAZTS65v5KuzrVyCenPFaj5Zigb2ZJdZmhLa	FxwbKC8s3dq8kkwJyHN5KEwDuhzawgfTmWRnfnX6jBho	Solana Advocat, Not a Cat	Advocat	8	18	216	185	0.44	24815.96	59266	2024-05-10 10:12:38	44.86	False	True	False	True	3	c47b70	0.00006078	-2.69	-2.69	-2.69	12.74	2024-05-10 12:57:29.824251
solana	raydium	8p3hFKLBuAZTS65v5KuzrVyCenPFaj5Zigb2ZJdZmhLa	FxwbKC8s3dq8kkwJyHN5KEwDuhzawgfTmWRnfnX6jBho	Solana Advocat, Not a Cat	Advocat	8	14	221	192	0.43	25461.33	62407	2024-05-10 10:12:38	47.14	False	True	False	True	3	c47b70	0.00006400	2.47	2.47	2.47	10.41	2024-05-10 12:59:46.362718
solana	raydium	8p3hFKLBuAZTS65v5KuzrVyCenPFaj5Zigb2ZJdZmhLa	FxwbKC8s3dq8kkwJyHN5KEwDuhzawgfTmWRnfnX6jBho	Solana Advocat, Not a Cat	Advocat	8	14	224	199	0.43	25507.18	62645	2024-05-10 10:12:38	49.41	False	True	False	True	3	c47b70	0.00006425	2.86	2.86	2.86	5.7	2024-05-10 13:02:02.622554
solana	raydium	8p3hFKLBuAZTS65v5KuzrVyCenPFaj5Zigb2ZJdZmhLa	FxwbKC8s3dq8kkwJyHN5KEwDuhzawgfTmWRnfnX6jBho	Solana Advocat, Not a Cat	Advocat	4	8	225	200	0.21	25592.62	63101	2024-05-10 10:12:38	51.67	False	True	False	True	3	c47b70	0.00006471	3.61	3.61	3.61	1.11	2024-05-10 13:04:18.131022
solana	raydium	8p3hFKLBuAZTS65v5KuzrVyCenPFaj5Zigb2ZJdZmhLa	FxwbKC8s3dq8kkwJyHN5KEwDuhzawgfTmWRnfnX6jBho	Solana Advocat, Not a Cat	Advocat	9	10	234	209	0.46	26392.96	67131	2024-05-10 10:12:38	53.96	False	True	False	True	3	c47b70	0.00006885	10.23	10.23	10.23	6.35	2024-05-10 13:06:35.380971
solana	raydium	8p3hFKLBuAZTS65v5KuzrVyCenPFaj5Zigb2ZJdZmhLa	FxwbKC8s3dq8kkwJyHN5KEwDuhzawgfTmWRnfnX6jBho	Solana Advocat, Not a Cat	Advocat	20	21	245	221	0.98	28923.38	80650	2024-05-10 10:12:38	56.24	False	True	False	True	3	c47b70	0.00008271	32.43	32.43	32.43	27.81	2024-05-10 13:08:52.680031
solana	raydium	8p3hFKLBuAZTS65v5KuzrVyCenPFaj5Zigb2ZJdZmhLa	FxwbKC8s3dq8kkwJyHN5KEwDuhzawgfTmWRnfnX6jBho	Solana Advocat, Not a Cat	Advocat	29	35	263	244	1.32	31003.47	92675	2024-05-10 10:12:38	58.51	False	True	False	True	3	c47b70	0.00009505	52.17	52.17	52.17	38.05	2024-05-10 13:11:08.741760
solana	raydium	8p3hFKLBuAZTS65v5KuzrVyCenPFaj5Zigb2ZJdZmhLa	FxwbKC8s3dq8kkwJyHN5KEwDuhzawgfTmWRnfnX6jBho	Solana Advocat, Not a Cat	Advocat	25	34	215	247	1.4	31994.32	98657	2024-05-10 10:12:38	60.78	False	True	False	True	3	c47b70	0.0001011	62	62	81.76	22.27	2024-05-10 13:13:24.996303
