chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	8F4PZhRPY4ZEGju2hCJUywRyoNP38kUERQmx594zsnEq	FkgsQwcVitBVRLpb5r1pH36cniSwJ8N6nmeamJJe8ny3	CoinBase Dog	DeFido	30	31	812	718	0.44	31991.28	77529	2024-05-16 05:46:37	131.88	False	True	False	True	2	0389b3	0.00007752	24.92	24.92	-37.85	-2.9	2024-05-16 09:58:30.086806
solana	raydium	8F4PZhRPY4ZEGju2hCJUywRyoNP38kUERQmx594zsnEq	FkgsQwcVitBVRLpb5r1pH36cniSwJ8N6nmeamJJe8ny3	CoinBase Dog	DeFido	14	21	779	674	0.22	34068.14	87873	2024-05-16 05:46:37	134.17	False	True	False	True	2	0389b3	0.00008787	41.58	41.58	-32.42	10.56	2024-05-16 10:00:46.924872
solana	raydium	8F4PZhRPY4ZEGju2hCJUywRyoNP38kUERQmx594zsnEq	FkgsQwcVitBVRLpb5r1pH36cniSwJ8N6nmeamJJe8ny3	CoinBase Dog	DeFido	18	20	767	663	0.28	35045.72	93016	2024-05-16 05:46:37	136.47	False	True	False	True	2	0389b3	0.00009301	49.87	49.87	-28.49	19.98	2024-05-16 10:03:05.010786
solana	raydium	8F4PZhRPY4ZEGju2hCJUywRyoNP38kUERQmx594zsnEq	FkgsQwcVitBVRLpb5r1pH36cniSwJ8N6nmeamJJe8ny3	CoinBase Dog	DeFido	23	24	761	655	0.36	33416.99	84678	2024-05-16 05:46:37	138.77	False	True	False	True	2	0389b3	0.00008467	36.44	36.44	-31.6	-3.64	2024-05-16 10:05:23.413323
solana	raydium	8F4PZhRPY4ZEGju2hCJUywRyoNP38kUERQmx594zsnEq	FkgsQwcVitBVRLpb5r1pH36cniSwJ8N6nmeamJJe8ny3	CoinBase Dog	DeFido	23	24	755	632	0.37	32840.74	81525	2024-05-16 05:46:37	141.06	False	True	False	True	2	0389b3	0.00008152	31.36	31.36	-28.21	-14.54	2024-05-16 10:07:40.669614
solana	raydium	8F4PZhRPY4ZEGju2hCJUywRyoNP38kUERQmx594zsnEq	FkgsQwcVitBVRLpb5r1pH36cniSwJ8N6nmeamJJe8ny3	CoinBase Dog	DeFido	21	21	743	631	0.34	31973.99	77308	2024-05-16 05:46:37	143.34	False	True	False	True	2	0389b3	0.00007730	24.56	24.56	-33.95	-9.18	2024-05-16 10:09:57.439321
solana	raydium	8F4PZhRPY4ZEGju2hCJUywRyoNP38kUERQmx594zsnEq	FkgsQwcVitBVRLpb5r1pH36cniSwJ8N6nmeamJJe8ny3	CoinBase Dog	DeFido	20	27	746	631	0.32	31169.36	73369	2024-05-16 05:46:37	145.65	False	True	False	True	2	0389b3	0.00007336	18.22	18.22	-35.4	-10	2024-05-16 10:12:16.202265
solana	raydium	8F4PZhRPY4ZEGju2hCJUywRyoNP38kUERQmx594zsnEq	FkgsQwcVitBVRLpb5r1pH36cniSwJ8N6nmeamJJe8ny3	CoinBase Dog	DeFido	22	19	703	583	0.38	31245.12	73793	2024-05-16 05:46:37	147.94	False	True	False	True	2	0389b3	0.00007379	18.9	18.9	-29.42	-1.78	2024-05-16 10:14:33.641040
solana	raydium	8F4PZhRPY4ZEGju2hCJUywRyoNP38kUERQmx594zsnEq	FkgsQwcVitBVRLpb5r1pH36cniSwJ8N6nmeamJJe8ny3	CoinBase Dog	DeFido	15	15	688	544	0.26	31696.3	75877	2024-05-16 05:46:37	150.26	False	True	False	True	2	0389b3	0.00007587	22.26	22.26	1.8	6.4	2024-05-16 10:16:52.508296
solana	raydium	8F4PZhRPY4ZEGju2hCJUywRyoNP38kUERQmx594zsnEq	FkgsQwcVitBVRLpb5r1pH36cniSwJ8N6nmeamJJe8ny3	CoinBase Dog	DeFido	11	10	660	517	0.2	32515.95	79728	2024-05-16 05:46:37	152.53	False	True	False	True	2	0389b3	0.00007972	28.46	28.46	-13.7	8.04	2024-05-16 10:19:08.744507
solana	raydium	8F4PZhRPY4ZEGju2hCJUywRyoNP38kUERQmx594zsnEq	FkgsQwcVitBVRLpb5r1pH36cniSwJ8N6nmeamJJe8ny3	CoinBase Dog	DeFido	22	17	654	507	0.4	35642.92	95814	2024-05-16 05:46:37	154.81	False	True	False	True	2	0389b3	0.00009581	54.38	54.38	-1.49	31.13	2024-05-16 10:21:25.447569
solana	raydium	8F4PZhRPY4ZEGju2hCJUywRyoNP38kUERQmx594zsnEq	FkgsQwcVitBVRLpb5r1pH36cniSwJ8N6nmeamJJe8ny3	CoinBase Dog	DeFido	17	21	634	502	0.32	35137.58	92913	2024-05-16 05:46:37	157.09	False	True	False	True	2	0389b3	0.00009291	49.71	49.71	-18.42	15.43	2024-05-16 10:23:42.647158
solana	raydium	8F4PZhRPY4ZEGju2hCJUywRyoNP38kUERQmx594zsnEq	FkgsQwcVitBVRLpb5r1pH36cniSwJ8N6nmeamJJe8ny3	CoinBase Dog	DeFido	16	18	600	488	0.32	34163.57	87910	2024-05-16 05:46:37	159.35	False	True	False	True	2	0389b3	0.00008790	41.64	41.64	-49.89	-8.14	2024-05-16 10:25:58.199452
solana	raydium	8F4PZhRPY4ZEGju2hCJUywRyoNP38kUERQmx594zsnEq	FkgsQwcVitBVRLpb5r1pH36cniSwJ8N6nmeamJJe8ny3	CoinBase Dog	DeFido	13	24	497	464	0.31	33453.6	84366	2024-05-16 05:46:37	161.62	False	True	False	True	2	0389b3	0.00008436	35.93	35.93	-47.45	-10.14	2024-05-16 10:28:14.358599
solana	raydium	8F4PZhRPY4ZEGju2hCJUywRyoNP38kUERQmx594zsnEq	FkgsQwcVitBVRLpb5r1pH36cniSwJ8N6nmeamJJe8ny3	CoinBase Dog	DeFido	9	30	427	442	0.25	32742.8	80938	2024-05-16 05:46:37	163.91	False	True	False	True	2	0389b3	0.00008093	30.41	30.41	-44.53	-7.75	2024-05-16 10:30:31.649354
solana	raydium	8F4PZhRPY4ZEGju2hCJUywRyoNP38kUERQmx594zsnEq	FkgsQwcVitBVRLpb5r1pH36cniSwJ8N6nmeamJJe8ny3	CoinBase Dog	DeFido	17	21	394	422	0.52	34509.9	90067	2024-05-16 05:46:37	166.2	False	True	False	True	2	0389b3	0.00009006	45.12	45.12	-41.59	7.65	2024-05-16 10:32:48.846165
solana	raydium	8F4PZhRPY4ZEGju2hCJUywRyoNP38kUERQmx594zsnEq	FkgsQwcVitBVRLpb5r1pH36cniSwJ8N6nmeamJJe8ny3	CoinBase Dog	DeFido	22	8	374	403	0.71	35688.8	96180	2024-05-16 05:46:37	168.47	False	True	False	True	2	0389b3	0.00009617	54.97	54.97	-32.19	18.83	2024-05-16 10:35:05.085958
solana	raydium	8F4PZhRPY4ZEGju2hCJUywRyoNP38kUERQmx594zsnEq	FkgsQwcVitBVRLpb5r1pH36cniSwJ8N6nmeamJJe8ny3	CoinBase Dog	DeFido	24	18	373	395	0.77	32244.23	78386	2024-05-16 05:46:37	170.75	False	True	False	True	2	0389b3	0.00007838	26.3	26.3	-44.79	-13.25	2024-05-16 10:37:21.926584
solana	raydium	8F4PZhRPY4ZEGju2hCJUywRyoNP38kUERQmx594zsnEq	FkgsQwcVitBVRLpb5r1pH36cniSwJ8N6nmeamJJe8ny3	CoinBase Dog	DeFido	16	20	364	387	0.53	32237.93	78251	2024-05-16 05:46:37	173.06	False	True	False	True	2	0389b3	0.00007825	26.08	26.08	-43.92	-17.84	2024-05-16 10:39:40.377363
