chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	8	19	335	273	0.29	61292.07	342024	2024-05-08 18:18:22	88.5	False	True	True	True	3	59549e	0.0003600	436	436	-25.63	-15.75	2024-05-08 21:46:52.193691
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	9	16	313	259	0.35	61354.66	344628	2024-05-08 18:18:22	90.91	False	True	True	True	3	59549e	0.0003627	440	440	-30.87	-4.45	2024-05-08 21:49:16.762425
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	5	9	286	236	0.21	61197.53	342624	2024-05-08 18:18:22	93.18	False	True	True	True	3	59549e	0.0003606	437	437	-5.18	-1.48	2024-05-08 21:51:32.810375
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	5	8	268	203	0.22	61458.85	345462	2024-05-08 18:18:22	95.46	False	True	True	True	3	59549e	0.0003636	441	441	17.36	0.47	2024-05-08 21:53:49.468431
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	3	6	248	192	0.15	59335.39	322083	2024-05-08 18:18:22	97.75	False	True	True	True	3	59549e	0.0003390	405	405	-18.83	-6	2024-05-08 21:56:06.729589
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	2	8	239	173	0.1	57586.94	303556	2024-05-08 18:18:22	100.08	False	True	True	True	3	59549e	0.0003195	376	376	0.6	-12.13	2024-05-08 21:58:26.606624
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	13	9	233	157	0.67	55203.39	278803	2024-05-08 18:18:22	102.37	False	True	True	True	3	59549e	0.0002934	337	337	-7.81	-13.44	2024-05-08 22:00:43.909034
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	17	15	228	167	0.89	48226.6	212593	2024-05-08 18:18:22	104.65	False	True	True	True	3	59549e	0.0002237	233	233	-38.35	-22.92	2024-05-08 22:03:01.260637
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	13	17	219	166	0.71	49109.35	220518	2024-05-08 18:18:22	106.95	False	True	True	True	3	59549e	0.0002321	245	245	-36.5	-20.45	2024-05-08 22:05:18.910229
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	6	6	185	163	0.39	50209.61	231419	2024-05-08 18:18:22	109.28	False	True	True	True	3	59549e	0.0002435	263	263	-45.65	7.11	2024-05-08 22:07:38.836086
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	2	5	163	161	0.15	49850.43	229562	2024-05-08 18:18:22	111.64	False	True	True	True	3	59549e	0.0002416	260	260	-57.78	4.04	2024-05-08 22:10:00.336430
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	1	5	138	161	0.09	48965.33	222647	2024-05-08 18:18:22	113.99	False	True	True	True	3	59549e	0.0002343	249	249	-55.69	-3.79	2024-05-08 22:12:21.362041
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	2	4	106	148	0.23	48640.48	219959	2024-05-08 18:18:22	116.36	False	True	True	True	3	59549e	0.0002315	245	245	-62.14	-3.91	2024-05-08 22:14:43.861113
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	2	6	99	129	0.24	48486.12	218151	2024-05-08 18:18:22	118.7	False	True	True	True	3	59549e	0.0002296	242	242	-47.43	-2.02	2024-05-08 22:17:03.837828
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	2	5	94	115	0.26	48491.33	218396	2024-05-08 18:18:22	120.98	False	True	True	True	3	59549e	0.0002298	242	242	-44.5	-0.71	2024-05-08 22:19:20.506955
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	0	2	79	111		47300.23	208619	2024-05-08 18:18:22	123.28	False	True	True	True	3	59549e	0.0002195	227	227	-55.56	-4.48	2024-05-08 22:21:39.051977
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	1	5	74	111	0.16	47281.56	208302	2024-05-08 18:18:22	125.59	False	True	True	True	3	59549e	0.0002192	226	226	-56.67	-4.62	2024-05-08 22:23:57.528903
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	3	3	74	106	0.49	47957.6	214696	2024-05-08 18:18:22	127.94	False	True	True	True	3	59549e	0.0002259	236	236	-54.72	3.2	2024-05-08 22:26:18.645182
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	3	1	71	106	0.51	48517.73	219093	2024-05-08 18:18:22	130.25	False	True	True	True	3	59549e	0.0002306	243	243	-53.52	3.35	2024-05-08 22:28:36.899358
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	4	4	73	104	0.66	47657.78	211443	2024-05-08 18:18:22	132.62	False	True	True	True	3	59549e	0.0002225	231	231	-47.31	-2.87	2024-05-08 22:30:59.110996
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	3	4	71	99	0.51	47428.83	209915	2024-05-08 18:18:22	134.99	False	True	True	True	3	59549e	0.0002209	229	229	-46.94	-4.19	2024-05-08 22:33:21.274946
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	0	6	68	98		43927.73	180199	2024-05-08 18:18:22	137.26	False	True	True	True	3	59549e	0.0001896	182	182	-54.07	-14.78	2024-05-08 22:35:37.405155
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	1	7	61	98	0.2	43287.56	175015	2024-05-08 18:18:22	139.58	False	True	True	True	3	59549e	0.0001842	174	174	-56.87	-16.63	2024-05-08 22:37:56.546917
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	2	5	60	98	0.4	43262.27	174845	2024-05-08 18:18:22	141.88	False	True	True	True	3	59549e	0.0001840	174	174	-56.79	-3.78	2024-05-08 22:40:14.923424
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	0	6	58	97		43198.33	174254	2024-05-08 18:18:22	144.18	False	True	True	True	3	59549e	0.0001834	173	173	-51.66	-0.82	2024-05-08 22:42:32.650259
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	1	7	56	89	0.21	43300.43	175311	2024-05-08 18:18:22	146.49	False	True	True	True	3	59549e	0.0001845	175	175	-47.95	0.27	2024-05-08 22:44:51.664960
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	1	4	50	86	0.24	43160.1	174557	2024-05-08 18:18:22	148.81	False	True	True	True	3	59549e	0.0001837	173	173	-49.8	0.17	2024-05-08 22:47:10.569255
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	1	7	49	87	0.24	38729.07	140667	2024-05-08 18:18:22	151.09	False	True	True	True	3	59549e	0.0001480	120	120	-59.09	-19.76	2024-05-08 22:49:27.619289
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	3	2	47	82	0.77	38519.81	139508	2024-05-08 18:18:22	153.48	False	True	True	True	3	59549e	0.0001468	119	119	-60.34	-0.06	2024-05-08 22:51:50.947812
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	5	2	49	81	1.22	38770.16	141836	2024-05-08 18:18:22	155.77	False	True	True	True	3	59549e	0.0001493	122	122	-58.94	0.83	2024-05-08 22:54:08.271586
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	4	1	49	78	0.98	40134.02	152224	2024-05-08 18:18:22	158.1	False	True	True	True	3	59549e	0.0001602	138	138	-52.74	9.11	2024-05-08 22:56:28.249181
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	9	2	53	73	2.04	42181.54	167585	2024-05-08 18:18:22	160.39	False	True	True	True	3	59549e	0.0001764	163	163	-40.97	18.15	2024-05-08 22:58:45.545819
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	10	2	44	68	2.73	42652.25	171038	2024-05-08 18:18:22	162.75	False	True	True	True	3	59549e	0.0001800	168	168	-29.29	12.36	2024-05-08 23:01:07.255618
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	2	3	37	57	0.65	42169.27	168124	2024-05-08 18:18:22	165.1	False	True	True	True	3	59549e	0.0001769	163	163	-22.37	-0.65	2024-05-08 23:03:27.946306
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	1	3	33	54	0.36	42169.27	168124	2024-05-08 18:18:22	167.37	False	True	True	True	3	59549e	0.0001769	163	163	-29.35	-1.7	2024-05-08 23:05:44.172980
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	3	1	36	53	1.0	42318.25	169313	2024-05-08 18:18:22	169.65	False	True	True	True	3	59549e	0.0001782	165	165	-26.84	0.71	2024-05-08 23:08:00.734381
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	5	1	38	51	1.58	42585.73	171275	2024-05-08 18:18:22	171.91	False	True	True	True	3	59549e	0.0001802	168	168	-25.17	1.87	2024-05-08 23:10:16.471812
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	1	1	37	49	0.32	42460.49	170596	2024-05-08 18:18:22	174.19	False	True	True	True	3	59549e	0.0001795	167	167	-23.38	0.3	2024-05-08 23:12:33.461520
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	1	1	37	47	0.32	42608.62	171666	2024-05-08 18:18:22	176.49	False	True	True	True	3	59549e	0.0001807	169	169	-21.51	0.23	2024-05-08 23:14:51.263511
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	1	0	35	43	0.34	42608.62	171666	2024-05-08 18:18:22	178.79	False	True	True	True	3	59549e	0.0001807	169	169	-21.4	0.63	2024-05-08 23:17:09.613466
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	0	1	35	44		42438.95	170630	2024-05-08 18:18:22	181.05	False	True	True	True	3	59549e	0.0001796	167	167	-21.87	-0.6	2024-05-08 23:19:25.270337
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	0	6	35	44		40831.67	157349	2024-05-08 18:18:22	183.32	False	True	True	True	3	59549e	0.0001656	147	147	-23.71	-8.34	2024-05-08 23:21:41.419466
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	0	8	33	46		39420.65	146534	2024-05-08 18:18:22	185.61	False	True	True	True	3	59549e	0.0001542	130	130	-30.88	-14.12	2024-05-08 23:23:58.895035
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	0	5	31	48		39445.24	146000	2024-05-08 18:18:22	187.91	False	True	True	True	3	59549e	0.0001536	129	129	-32.93	-7.21	2024-05-08 23:26:16.336994
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	2	5	31	48	0.77	39550.39	146673	2024-05-08 18:18:22	190.22	False	True	True	True	3	59549e	0.0001543	130	130	-31.55	0.09	2024-05-08 23:28:35.209848
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	4	3	31	47	1.55	39677.93	147619	2024-05-08 18:18:22	192.5	False	True	True	True	3	59549e	0.0001553	131	131	-30.18	1.11	2024-05-08 23:30:52.103399
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	6	1	35	47	2.06	42099.64	165836	2024-05-08 18:18:22	194.97	False	True	True	True	3	59549e	0.0001745	160	160	-21	13.06	2024-05-08 23:33:19.948200
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	8	1	40	40	2.4	43006	173532	2024-05-08 18:18:22	197.24	False	True	True	True	3	59549e	0.0001826	172	172	-1.79	15.09	2024-05-08 23:35:36.260067
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	5	0	40	39	1.5	43108.13	174344	2024-05-08 18:18:22	199.53	False	True	True	True	3	59549e	0.0001835	173	173	-0.77	1.34	2024-05-08 23:37:53.693385
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	3	0	41	38	0.88	43298.7	175688	2024-05-08 18:18:22	201.8	False	True	True	True	3	59549e	0.0001849	175	175	0.48	1.24	2024-05-08 23:40:10.002638
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	2	1	42	34	0.57	43466.21	176651	2024-05-08 18:18:22	204.08	False	True	True	True	3	59549e	0.0001859	177	177	1.38	1.32	2024-05-08 23:42:27.065124
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	2	1	42	32	0.57	43478.33	176787	2024-05-08 18:18:22	206.36	False	True	True	True	3	59549e	0.0001860	177	177	0.84	0.63	2024-05-08 23:44:43.593241
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	2	3	42	29	0.57	42574.58	169527	2024-05-08 18:18:22	208.65	False	True	True	True	3	59549e	0.0001784	166	166	21.44	-3.42	2024-05-08 23:47:00.813809
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	0	5	41	30		42377.99	168072	2024-05-08 18:18:22	210.91	False	True	True	True	3	59549e	0.0001769	163	163	19.48	-4.93	2024-05-08 23:49:16.639247
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	0	3	38	30		42181.52	167261	2024-05-08 18:18:22	213.19	False	True	True	True	3	59549e	0.0001760	162	162	19.94	-1.34	2024-05-08 23:51:33.392000
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	0	1	36	29		42181.52	167261	2024-05-08 18:18:22	215.46	False	True	True	True	3	59549e	0.0001760	162	162	17.93	-0.48	2024-05-08 23:53:49.628822
solana	raydium	4yZ9rmDeEcjw1dzvg5UQNVu94yfPmnZiKvEVD33wYpny	FUALeEgyD2NzPtYpFVmuySdWH2sTAJpdDwgj8zmoKrJg	Blu The Red Panda	BLU	1	0	36	29	0.33	42327.29	168275	2024-05-08 18:18:22	217.73	False	True	True	True	3	59549e	0.0001771	164	164	10.54	0.61	2024-05-08 23:56:05.607711
